Task_Task_ID1,Task_Task_ID2
104805,665661
269491,576780
527275,527275
244350,232749
732617,179663
436027,668430
743829,570340
307970,777069
642218,954653
296266,790808
175170,296369
173767,860123
397058,627169
912692,798472
717697,665661
262259,851477
457231,828627
156309,798472
310811,607219
853777,292587
995569,448521
102509,261135
642218,639427
928420,693810
778336,284879
677811,397058
932825,613419
581637,717697
505816,860955
565840,330342
769999,895754
244350,330093
292587,260961
565840,627308
722047,911582
444862,505002
895754,124258
364554,570340
455193,546596
995569,870816
457231,932825
860123,574239
337173,142297
936648,333809
926686,175170
218149,364554
262259,627169
774573,417327
468538,928420
743829,668430
934335,840792
331368,912692
113657,383664
124258,735248
860955,773328
627308,197547
717697,790808
808152,722047
197547,588539
627169,330093
588539,468538
774573,261135
179663,466498
573846,612236
726895,505002
968596,726637
627169,284879
307970,612810
853777,639427
577262,142297
968596,505002
576780,156309
851477,355176
581637,774573
509320,201955
942380,205430
834103,610582
533344,436027
640296,746407
261135,330093
546596,851477
936648,683840
422825,296266
680738,269491
950864,852830
876570,773661
764900,254561
570162,466498
570162,337173
268233,383664
466498,932825
113657,773661
932825,448521
296369,968596
131486,386538
764900,870816
446032,852830
588539,712150
746407,156309
964664,929063
639427,875519
870816,479901
879783,509320
778336,896963
693810,851477
260961,834103
417327,932825
284879,466498
330342,751985
476515,337373
330788,454579
466498,870816
607219,627308
386538,268233
866022,640296
773328,142600
244067,218149
346237,254508
330788,743829
965991,307970
268233,478281
175170,964664
397058,570162
503121,346237
929063,612236
546596,476515
330093,296369
466498,642030
860123,840792
156309,726895
250119,397058
798472,533344
639427,176903
570162,478281
895754,938629
240523,769999
250119,683840
179663,254561
444862,533344
852830,677811
151478,457231
777069,743829
197547,378345
746407,576780
292587,457231
446032,851477
774573,346237
131388,430461
367123,383664
936648,388015
911582,454579
151478,466498
926686,791446
613076,588539
613419,237480
534309,142600
995569,798472
912692,448521
860955,479901
943691,712150
197547,237480
950864,455193
693191,639427
732617,296011
808152,455193
330342,743829
879203,444862
927301,337173
929063,589680
325924,370878
113657,422825
378345,464673
950864,478281
640296,851477
769999,150230
104805,386538
879783,732617
773328,577262
962590,565840
639427,774573
851477,640296
726637,827376
684000,808152
156309,613076
627169,577443
607219,726637
417327,773328
337373,330093
683840,764900
284879,968596
388015,808152
448521,310811
681418,588539
684000,834103
150230,325924
478281,896963
615522,791446
296369,834103
571102,875519
509320,505816
425587,388015
778336,113657
296369,796159
468538,938629
769999,333809
932825,896963
900250,330093
599985,104805
296266,827376
670387,133641
455193,425587
610582,879783
860955,370878
693810,627308
743829,735248
436027,773661
397058,766626
876570,613419
866022,613419
693532,268514
668430,102509
577262,828627
879203,113657
254508,726895
581637,310811
875519,534309
808152,397058
104805,436027
325924,875519
383664,505002
102509,942380
693532,505816
929063,378345
870816,218149
693810,472877
751985,577262
262259,851477
791446,570162
275779,615522
574239,712150
111267,124258
896963,938629
726637,468538
778336,367123
244067,268233
900250,142297
150230,472877
275779,968596
875519,926686
175170,934335
683840,268514
330788,173767
466438,774573
588539,296369
860123,422825
417327,269491
866022,175170
370878,254561
388015,964664
612810,472877
581637,766626
927301,853777
571102,468538
430461,150230
942380,577443
639427,232749
455193,466438
640296,102509
964664,244067
504353,446032
642218,828627
912692,639427
250119,900250
104805,268233
599985,736044
446032,454579
244350,102509
285463,237480
104805,240523
570340,735248
934335,819280
866022,964664
773661,683840
599985,337373
577262,612236
285463,254489
574239,466438
827376,388015
250119,244067
574239,726895
296011,262259
860955,330342
534309,926686
743829,244350
717697,954653
573846,840792
627169,573846
912692,642030
254508,310811
751985,896629
364554,386538
527275,577443
292587,262259
677811,570340
860955,364554
642030,466498
430461,929063
722138,417327
574239,900250
104805,693191
476515,260961
573846,938629
726637,612236
942380,337373
133641,589680
383664,627308
751985,627169
743829,232749
684000,250119
581637,454579
292587,773661
131486,333809
607219,444862
722047,612810
684000,388015
769999,574239
131486,851477
852830,464673
612810,472877
866022,367123
448521,790808
142600,577262
879783,570340
860955,310811
250119,534309
851477,367123
505816,668430
533344,292587
665661,852830
929063,773661
712150,260961
726895,430461
819280,736044
346237,639427
254489,476515
280575,798472
476515,565840
577443,875519
938629,693810
546596,133641
478281,896963
292587,615522
932825,425587
929063,860123
425587,895754
197547,464673
912692,589680
610582,533344
269491,156309
124258,325924
851477,612236
296011,613076
670387,680738
346237,503121
142297,573846
292587,133641
773661,296266
764900,965991
642218,693810
670387,773661
712150,503121
466438,732617
307970,113657
680738,693810
735248,693191
968596,240523
932825,968596
505002,478281
240523,364554
325924,124258
790808,942380
355176,866022
828627,895754
777069,571102
769999,331368
367123,113657
834103,268514
218149,113938
896629,613076
261135,443347
150230,337173
954653,292587
296266,896629
113657,468538
853777,268514
860123,337173
712150,965991
746407,156309
269491,828627
386538,764900
113938,639427
268514,798472
505816,573846
968596,612236
397058,726637
819280,577443
466498,268233
573846,468538
827376,712150
509320,722047
142297,968596
936648,819280
612236,576780
717697,995569
388015,430461
736044,331368
639427,712150
330788,244350
454579,773328
670387,639427
828627,943691
827376,201955
337173,879783
333809,425587
446032,936648
681418,683840
133641,269491
104805,610582
599985,237480
954653,397058
840792,589680
790808,613419
845609,726895
866022,565840
364554,683840
337373,627308
330093,142297
218149,932825
133641,444862
929063,912692
995569,205430
574239,370878
268514,325924
840792,175170
670387,268233
378345,573846
397058,205430
995569,942380
927301,577262
268233,505816
912692,113657
876570,573846
722138,677811
468538,840792
764900,732617
150230,773328
131486,751985
968596,732617
262259,113657
337173,581637
777069,113657
218149,845609
677811,693810
574239,261135
268514,472778
479901,574239
378345,766626
254561,640296
819280,876570
296011,860123
232749,866022
201955,466438
176903,612236
386538,851477
179663,330342
769999,769999
102509,577443
610582,769999
627308,378345
417327,457231
472877,250119
791446,640296
828627,942380
307970,388015
927301,284879
443347,995569
911582,131486
938629,330788
337173,726895
942380,260961
852830,176903
268233,932825
422825,796159
325924,254561
571102,104805
570162,268514
896629,262259
834103,383664
936648,693532
735248,693532
